"x","y","order","group","pathGroup"
0.120833333333333,0.00485436893203883,1,"A","A.1"
0.122916666666667,0.00728155339805825,2,"A","A.1"
0.44375,1,3,"A","A.1"
0.572916666666667,1,4,"A","A.1"
0.883333333333333,0,5,"A","A.1"
0.760416666666667,0,6,"A","A.1"
0.675,0.288834951456311,7,"A","A.1"
0.66875,0.300970873786408,8,"A","A.1"
0.333333333333333,0.300970873786408,9,"A","A.1"
0.322916666666667,0.276699029126214,10,"A","A.1"
0.2375,0,11,"A","A.1"
0.120833333333333,0,12,"A","A.1"
0.120833333333333,0.00485436893203883,13,"A","A.1"
0.36875,0.410194174757282,14,"A","A.2"
0.6375,0.412621359223301,15,"A","A.2"
0.50625,0.849514563106796,16,"A","A.2"
0.502083333333333,0.849514563106796,17,"A","A.2"
0.495833333333333,0.83252427184466,18,"A","A.2"
0.366666666666667,0.412621359223301,19,"A","A.2"
0.36875,0.410194174757282,20,"A","A.2"
0.120833333333333,0.00485436893203883,21,"A","A.1"
0.189583333333333,1,1,"B","B.1"
0.6125,0.997572815533981,2,"B","B.1"
0.65,0.990291262135922,3,"B","B.1"
0.69375,0.973300970873786,4,"B","B.1"
0.71875,0.95873786407767,5,"B","B.1"
0.75,0.932038834951456,6,"B","B.1"
0.783333333333333,0.885922330097087,7,"B","B.1"
0.80625,0.827669902912621,8,"B","B.1"
0.814583333333333,0.776699029126214,9,"B","B.1"
0.8125,0.706310679611651,10,"B","B.1"
0.802083333333333,0.660194174757282,11,"B","B.1"
0.78125,0.614077669902913,12,"B","B.1"
0.739583333333333,0.565533980582524,13,"B","B.1"
0.7,0.538834951456311,14,"B","B.1"
0.760416666666667,0.504854368932039,15,"B","B.1"
0.7875,0.483009708737864,16,"B","B.1"
0.814583333333333,0.451456310679612,17,"B","B.1"
0.829166666666667,0.427184466019417,18,"B","B.1"
0.845833333333333,0.383495145631068,19,"B","B.1"
0.85625,0.320388349514563,20,"B","B.1"
0.85625,0.264563106796116,21,"B","B.1"
0.852083333333333,0.233009708737864,22,"B","B.1"
0.841666666666667,0.191747572815534,23,"B","B.1"
0.827083333333333,0.155339805825243,24,"B","B.1"
0.808333333333333,0.121359223300971,25,"B","B.1"
0.770833333333333,0.0752427184466019,26,"B","B.1"
0.741666666666667,0.0509708737864078,27,"B","B.1"
0.714583333333333,0.0339805825242718,28,"B","B.1"
0.65,0.00970873786407767,29,"B","B.1"
0.5875,0,30,"B","B.1"
0.189583333333333,0,31,"B","B.1"
0.189583333333333,0.997572815533981,32,"B","B.1"
0.189583333333333,1,33,"B","B.1"
0.302083333333333,0.885922330097087,34,"B","B.2"
0.304166666666667,0.575242718446602,35,"B","B.2"
0.570833333333333,0.577669902912621,36,"B","B.2"
0.616666666666667,0.589805825242718,37,"B","B.2"
0.658333333333333,0.616504854368932,38,"B","B.2"
0.679166666666667,0.643203883495146,39,"B","B.2"
0.69375,0.677184466019418,40,"B","B.2"
0.7,0.713592233009709,41,"B","B.2"
0.7,0.757281553398058,42,"B","B.2"
0.695833333333333,0.783980582524272,43,"B","B.2"
0.683333333333333,0.817961165048544,44,"B","B.2"
0.66875,0.839805825242718,45,"B","B.2"
0.647916666666667,0.859223300970874,46,"B","B.2"
0.614583333333333,0.87621359223301,47,"B","B.2"
0.55,0.888349514563107,48,"B","B.2"
0.304166666666667,0.888349514563107,49,"B","B.2"
0.302083333333333,0.885922330097087,50,"B","B.2"
0.189583333333333,1,51,"B","B.1"
0.304166666666667,0.468446601941748,52,"B","B.3"
0.302083333333333,0.466019417475728,53,"B","B.3"
0.304166666666667,0.116504854368932,54,"B","B.3"
0.602083333333333,0.118932038834951,55,"B","B.3"
0.65,0.133495145631068,56,"B","B.3"
0.675,0.148058252427184,57,"B","B.3"
0.708333333333333,0.182038834951456,58,"B","B.3"
0.722916666666667,0.20631067961165,59,"B","B.3"
0.735416666666667,0.240291262135922,60,"B","B.3"
0.741666666666667,0.279126213592233,61,"B","B.3"
0.741666666666667,0.320388349514563,62,"B","B.3"
0.73125,0.368932038834951,63,"B","B.3"
0.720833333333333,0.390776699029126,64,"B","B.3"
0.697916666666667,0.419902912621359,65,"B","B.3"
0.683333333333333,0.432038834951456,66,"B","B.3"
0.635416666666667,0.456310679611651,67,"B","B.3"
0.570833333333333,0.468446601941748,68,"B","B.3"
0.304166666666667,0.468446601941748,69,"B","B.3"
0.189583333333333,1,70,"B","B.1"
0.127083333333333,0.548387096774194,1,"C","C.1"
0.129166666666667,0.550691244239631,2,"C","C.1"
0.13125,0.599078341013825,3,"C","C.1"
0.141666666666667,0.663594470046083,4,"C","C.1"
0.158333333333333,0.723502304147465,5,"C","C.1"
0.175,0.767281105990783,6,"C","C.1"
0.204166666666667,0.82258064516129,7,"C","C.1"
